,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
214,aluguel,Prédio,Pituba, Avenida Manoel Dias da Silva,,638.0,0,10,0,20000.0
215,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
216,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
217,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
218,aluguel,Sala,Parque Bela Vista, Rua Metódio Coelho,,55.08,0,0,1,700.0
219,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,26.51,0,1,0,900.0
220,aluguel,Ponto comercial,Matatu, Rua do Sangradouro,,1050.5,0,0,0,19000.0
221,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
222,aluguel,Sala,Parque Bela Vista, Avenida Antônio Carlos Magalhães,3129.0,39.86,0,1,1,600.0
223,aluguel,Sala,Parque Bela Vista, Avenida Antônio Carlos Magalhães,,32.24,0,0,1,600.0
224,aluguel,Sala,Nazaré, Rua do Cabral,,36.0,0,0,3,690.0
225,aluguel,Apartamento,Jardim Apipema, Rua Desembargador Ezequiel Pondé,152.0,40.0,1,0,1,800.0
226,aluguel,Loja,Graça, Rua da Paz,,16.0,0,0,0,800.0
227,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto,2.0,29.0,0,0,1,1000.0
228,aluguel,Apartamento,Pituba, Avenida Manoel Dias da Silva,,50.0,1,1,2,1100.0
229,aluguel,Sala,Barra, Rua Marquês de Caravelas,,100.0,0,1,0,2800.0
230,aluguel,Galpão,Baixa dos Sapateiros, Avenida José Joaquim Seabra,,512.0,0,0,0,8000.0
231,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,650.0
232,aluguel,Sala,Barroquinha, Avenida José Joaquim Seabra,,40.0,0,0,0,1000.0
233,aluguel,Apartamento,Barra, Rua Guadalajara,,120.0,3,1,2,2500.0
234,aluguel,Sala,São Cristóvão, Avenida Luís Viana,,34.0,0,1,1,1100.0
235,aluguel,Sala,Amaralina, Rua das Ubaranas,,59.0,0,1,1,490.0
236,aluguel,Cobertura,Canela, Rua Marechal Floriano,,104.0,2,4,3,3675.0
237,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco,167.0,35.0,1,0,1,550.0
238,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco,,35.0,1,0,1,550.0
239,aluguel,Apartamento,Uruguai, Rua Luiz Régis Pacheco,,35.0,1,0,1,550.0
240,aluguel,Apartamento,Ribeira, Avenida Porto dos Mastros,,25.0,1,0,1,650.0
241,aluguel,Apartamento,Iapi, Rua Conde de Porto Alegre,186.0,40.0,1,0,1,650.0
242,aluguel,Apartamento,Parque Bela Vista, Rua Doutor Mário Campos,57.0,45.0,1,0,1,650.0
243,aluguel,Apartamento,Ribeira, Rua Vinte e Cinco de Dezembro da Ribeira,176.0,40.0,2,0,1,650.0
244,aluguel,Apartamento,Ribeira, Avenida Porto dos Mastros,100.0,25.0,1,0,1,690.0
245,aluguel,Apartamento,Novo Marotinho, Alameda das Hortênsias,147.0,60.0,2,1,1,700.0
246,aluguel,Apartamento,Iapi, Rua Conde de Porto Alegre,186.0,50.0,2,0,1,730.0
247,aluguel,Apartamento,Sussuarana, Avenida Ulysses Guimarães,14.0,70.0,2,0,1,750.0
