,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
45,venda,Apartamento,Nazaré, Rua Arquimedes Gonçalves,2.0,120.0,3,1,2,350000
46,venda,Apartamento,Armação, Rua Rodolpho Coelho Cavalcante,142.0,87.0,3,1,3,350000
47,venda,Apartamento,Vila Rui Barbosa, Rua Resende Costa,44.0,119.0,3,1,2,350000
48,venda,Casa,Bonfim, Rua Doutor Couto Maia,43.0,182.0,3,0,2,350000
49,venda,Apartamento,Santa Teresa, Rua Francisco Jorge,86.0,62.0,2,1,2,360000
50,venda,Apartamento,Rio Vermelho, Rua Barro Vermelho,,95.0,1,2,2,380000
51,venda,Apartamento,Vila Laura, Rua Genésio Sales,197.0,120.0,2,1,2,380000
52,venda,Apartamento,Costa Azul, Rua Professor Gérson Pinto,281.0,132.0,3,1,3,380000
53,venda,Apartamento,Monte Serrat, Rua Rio Itapicuru,12.0,110.0,3,1,3,385000
54,venda,Apartamento,Bonfim, Rua Doutor Esmeraldino Bandeira,6.0,141.0,3,1,1,390000
55,venda,Apartamento,Garcia, Rua Pacífico Pereira,32.0,106.0,3,0,2,390000
56,venda,Apartamento,Parque Bela Vista, Rua Ararendá,,139.0,4,1,3,395000
57,venda,Apartamento,Pituba, Rua Antenor Tupinambá,297.0,84.0,2,1,2,400000
58,venda,Apartamento,Barra, Rua Barão de Sergy,,141.2,3,0,2,400000
59,venda,Apartamento,Graça, Avenida Princesa Leopoldina,341.0,117.0,3,0,4,400000
60,venda,Apartamento,Bonfim, Avenida Salvador,12.0,121.0,3,1,2,400000
61,venda,Apartamento,Vila Laura, Rua Genésio Sales,22.0,120.0,3,2,3,420000
62,venda,Casa,Mares, Rua Agrário de Menezes,50.0,94.0,4,1,3,420000
63,venda,Casa,Barbalho, Rua Professor Palma,12.0,141.0,5,0,3,420000
64,venda,Apartamento,Armação, Rua Rodolpho Coelho Cavalcante,280.0,90.0,3,1,1,431000
65,venda,Apartamento,Pituba, Avenida Octávio Mangabeira,,50.0,1,1,1,440000
66,venda,Apartamento,Candeal, Rua Alexandrina Ramalho,70.0,105.0,3,2,3,450000
67,venda,Apartamento,Rio Vermelho, Rua Rodrigo Argolo,508.0,118.0,3,3,4,450000
68,venda,Apartamento,Candeal, Rua Carlos Maron,,123.0,4,2,3,450000
69,venda,Cobertura,Vila Laura, Rua Mário Rego dos Santos,390.0,145.55,3,2,4,450000
70,venda,Casa,Candeal, Rua Dinah Silveira de Queirós,714.0,358.0,4,5,4,980000
71,venda,Apartamento,Barra, Avenida Princesa Isabel,631.0,144.0,4,2,4,1150000
72,venda,Casa,Pituba, Rua Artur de Sá Menezes,157.0,221.0,4,4,4,1200000
73,venda,Apartamento,Campo Grande, Largo do Campo Grande,,267.58,4,3,3,1250000
74,venda,Casa,Bonfim, Rua Henrique Dias,253.0,370.0,8,4,5,1400000
75,venda,Apartamento,Patamares, Rua do Mangalô,277.0,208.0,3,3,4,1470000
76,venda,Casa,Bonfim, Rua Baden Powell,25.0,258.0,4,3,5,1490000
77,venda,Apartamento,Barra, Rua Cândido Portinari,,171.0,3,3,5,1500000
78,venda,Casa,Bonfim, Avenida Dendezeiros do Bonfim,195.0,402.0,4,3,2,1500000
79,venda,Casa,Jardim Apipema, Rua Quintino de Carvalho,,382.0,4,5,6,1700000
80,venda,Pousada,Barra, Rua Recife,,169.0,12,0,12,1800000
81,venda,Casa em condomínio,Federação, Rua Manoel Marques,,353.0,4,6,5,1880000
82,venda,Pousada,Santo Antônio, Ladeira do Carmo,,655.0,12,0,7,1950000
83,venda,Loja,Ribeira, Avenida Beira Mar,472.0,500.0,0,0,5,2000000
84,venda,Apartamento,Barra, Rua Tenente Pires Ferreira,143.0,330.0,5,3,6,2100000
85,venda,Casa Comercial,Barra, Rua Afonso Celso,507.0,600.0,14,0,16,2500000
86,venda,Casa,Matatu, Rua Doutor Otaviano Pimenta,362.0,500.0,9,6,4,2600000
87,venda,Casa,Itaigara, Rua Doutora Lígia Meira de Oliveira,7.0,790.0,4,7,4,2700000
88,venda,Galpão,Valéria, Rua da Matriz,2.0,1500.0,0,4,0,3000000
89,venda,Galpão,Caixa Dágua, Ladeira do Paiva,,1806.0,0,30,12,3400000
90,venda,Prédio,Pituba, Rua Amazonas,,1080.0,0,25,11,6500000
91,venda,Apartamento,Piatã, Rua Pasquale Gatto,394.0,60.0,2,1,1,305000
92,venda,Apartamento,Rio Vermelho, Rua Barão do Triunfo,102.0,82.94,2,1,1,350000
93,venda,Casa Comercial,Rio Vermelho, Rua Alagoinhas,100.0,300.0,3,2,4,1900000
94,venda,Terreno,Horto Florestal, Avenida Santa Luzia,4.0,2733.6,0,0,0,3000000
95,venda,Apartamento,Piatã, Rua Guaraçaima,642.0,60.0,2,1,2,340000
96,venda,Apartamento,Luis Anselmo, Rua Luiz Anselmo,,100.0,2,1,2,320000
97,venda,Casa,Praia do Flamengo, Rua Ipecaetá,2.0,300.0,0,2,3,650000
98,venda,Apartamento,Barra, Rua José Sátiro de Oliveira,,119.0,3,1,3,440000
99,venda,Apartamento,Jardim Apipema, Rua Plínio Moscoso,,166.0,3,1,3,450000
100,venda,Apartamento,Barra, Rua Doutor João Pondé,,125.0,3,1,2,470000
101,venda,Apartamento,Jardim Apipema, Rua Desembargador Demétrio Tourinho,,110.0,3,2,2,485000
102,venda,Apartamento,Graça, Rua Martagão Gesteira,,119.04,3,2,3,550000
103,venda,Apartamento,Jardim Apipema, Rua Professor Sabino Silva,,140.0,4,2,3,550000
104,venda,Apartamento,Caminho das Árvores, Avenida Tancredo Neves,,200.0,4,2,4,565000
105,venda,Apartamento,Chame-chame, Rua Professor Jorge Valente,,110.0,3,2,3,570000
106,venda,Apartamento,Graça, Avenida Princesa Isabel,,150.0,4,1,3,600000
107,venda,Apartamento,Ondina, Rua Professor Clementino Fraga,,197.0,4,4,4,665000
108,venda,Apartamento,Ondina, Rua Senta Pua,,114.0,2,2,1,670000
109,venda,Apartamento,Ondina, Rua Senta Pua,,114.0,2,2,1,670000
110,venda,Apartamento,Jardim Apipema, Rua Plínio Moscoso,,240.0,4,2,4,720000
111,venda,Apartamento,Jardim Apipema, Rua Doutor Rubens Chaves,,170.0,4,3,3,750000
112,venda,Apartamento,Graça, Avenida Euclydes da Cunha,,92.0,2,2,2,800000
113,venda,Apartamento,Pituba, Rua Ceará,,207.5,4,3,4,800000
114,venda,Apartamento,Campo Grande, Largo do Campo Grande,,102.0,3,1,2,840000
115,venda,Apartamento,Pituba, Avenida Paulo Vi,,263.15,4,2,4,980000
116,venda,Apartamento,Acupe de Brotas, Ladeira do Acupe,,182.87,4,3,4,990000
117,venda,Apartamento,Barra, Avenida Sete de Setembro,,159.0,2,2,3,1000000
118,venda,Apartamento,Ondina, Rua Morro do Escravo Miguel,,270.0,4,4,5,1000000
119,venda,Apartamento,Jardim Apipema, Rua Plínio Moscoso,,250.0,4,3,5,1090000
120,venda,Apartamento,Barra, Rua Fernão de Magalhães,,230.0,3,3,5,1250000
121,venda,Apartamento,Chame-chame, Rua Plínio Moscoso,,162.0,4,2,5,1300000
